organization_cd,org_cat,org_clas,organization_nm,status,dist_levl,bfy
P00G1200,P00G0000,E,"(192X,192M) ALLIAN SEGMENT MANAGER",,1,2015
P0573000,P0570000,R,"(192X,192M) CLIENT DELIVERY TEAM 3 (JUDICIARY)",,2,2015
P0225200,P0220000,S,"(192X,192M) MANHATTAN SERVICE CENTER",,3,2015
P0940600,,C,"(192X,192M) SPACE PLANNING STAFF",,2,2015
P01D0001,P01D0000,E,"(192X,192M) REAL ESTATE ACQUISITION DIVISION",,2,2015
P00M1103,P00M0000,M,"(192X,192M) PUBLIC UTILITIES",,1,2015
P0960001,P0960001,N,"(192,442) REGIONAL RECOVERY OFFICE, REGION 9",,2,2015
P07C1000,P07C0000,A,"(192X,192M) EMERGENCY MANAGEMENT BRANCH",,2,2015
P09Y0000,P09Y0000,F,"(192X,192M) CFO SUMMARY CLASS",,2,2015
P0240300,P0240000,C,"(192X,192M) PROGRAM SUPPORT STAFF",,2,2015
P03M0001,,M,"(192X,192M) FACIL MGMT & SVCS PROGRAMS DIV",,2,2015
P0625203,P0625200,S,"(192X,192M) ST. LOUIS WEST FIELD OFFICE",,3,2015
P0525171,P0520000,S,"(192X,192M) MCNAMARA FEDERAL BUILDING OFFICE",,3,2015
P1025115,P1020000,S,"(192X,192M) ANCHORAGE PMO",,3,2015
P0743000,P0740001,C,"(192X,192M) CONSTRUCTION EXCELLENCE PROGRAM SUPPORT BRANCH",,2,2015
P00Q3100,P00Q0000,P00Q0000,"(192X,192M) SECURITY DESIGN SME",,1,2015
P032C100,P0320000,S,"(192X,192M) SO SVC CTR-BALTIMORE FIELD OFC",,3,2015
P072W0F1,P0720000,S,"(192X,192M) FORT WORTH SERVICE CENTER",,3,2015
P02T0002,P02T0000,T,"(192X,192M) PORTFOLIO MANAGEMENT DIVISION",,2,2015
P00M3101,P00M0000,M,"(192X,192M) CHILDCARE - NEW ENGLAND",,1,2015
P00C0018,P00C0000,R,"(192X,192M) TRANS DELEGATION",,1,2015
P0621300,P0620000,M,"(192X,192M) FEDERAL REALTY SERVICES BR",,2,2015
P0681001,P0680000,E,(192) ACQUISITION PROGRAM AND QUALITY ASSURANCE BRANCH,,2,2015
P0140001,P0140000,C,"(192X,442) DESIGN AND CONSTRUCTION DIVISION",,2,2015
P092S450,P0920000,S,"(192X,192M) SACRAMENTO OFFICE",,3,2015
P0225540,P0220000,S,(192) SYRACUSE FIELD OFFICE,,3,2015
P00D2000,P00D0000,D,"(192X,192M) CUSTOMER INTELLIGENCE DIVISION",,1,2015
P03CC300,P03C0000,C,"(192X,192M) D&C DIV-SOUTH BR-RICHMOND & SOUTHERN WEST VA SEC",,2,2015
P0523002,P0523000,S,"(192X,192M) ILLINOIS TEAM",,2,2015
P0420X00,P0420000,M,"(192X,192M) BUILDINGS MGMT INTERNS",,2,2015
P0425501,P0420000,S,"(192X,192M) COLUMBIA, SC FIELD OFFICE",,3,2015
P0470002,P0470000,R,"(192X,192M) DEPUTY DIRECTOR",,2,2015
P092D120,P0920000,S,"(192X,192M) TUCSON FIELD OFFICE",,3,2015
P00G5000,P00G0000,G,"(192X,192M) DIR PHYSICAL ASSET MGMT",,1,2015
P0910101,,TRANSFER,"(192X,192M) TRANSFER PROJECTS",,2,2015
P0940400,P0940000,C,"(192X,192M) PDD S CALIF/HAW PROJ EX BR",,2,2015
P00C0011,P00C0000,R,"(192X,192M) JUSTICE DELEGATION",,1,2015
P0170001,P0170000,R,"(192X,192M) PROP ACQSTN & REALTY  DIRECTOR & STF",,2,2015
P00Q0004,P00Q0000,C,"(192X,192M) CENTER FOR ARCH, ENG & URBAN DEV",,1,2015
P0420001,P0420000,M,"(192X,192M) PROPERTY MANAGEMENT",,2,2015
P0225251,P0220000,P0220000,(192) BUFFALO SERVICE DESK,,3,2015
P1110101,,TRANSFER,"(192X,192M) TRANSFER PROJECTS",,2,2015
P11C0001,P11C0000,F,"(192X,192M) DIRECTOR & STAFF",,2,2015
P0585400,,M,"(192X,192M) DETROIT FPS DIST 4",,3,2015
P0941200,P0940000,C,"(192X,192M) ARCHITECTURE AND DESIGN PROGRAMS BRANCH",,2,2015
P00H0260,P00H0000,G,"(192X,192M) BUSINESS ANALYTICS",,1,2015
P082M001,P0820000,S,"(192X,192M) HELENA FIELD OFFICE",,3,2015
P0270100,,R,"(192X,192M) LOWER MANHATTAN BRANCH",,2,2015
P0425500,P0420000,S,"(192X,192M) CHARLOTTE PRPTY MGMT CTR",,3,2015
P06T5001,P06T0000,D,"(192X,192M) ACCOUNT MANAGEMENT BRANCH",,2,2015
P0540100,P0540000,C,"(192X,192M) PROJECT GROUP 1",,2,2015
P00S1211,P00S0000,M,"(192X,192M) CHILDCARE - NAT CAP",,1,2015
P03CSJ00,P03C0000,C,"(192X,192M) D&C DIV - SPECIAL PROJECTS SECTION",,2,2015
P0230100,P0230000,P0230000,"(192X,192M,992X) SUPPORT SERVICES BRANCH",,2,2015
P111000H,P1110000,T,(192) OFFICE OF PORTFOLIO MANAGEMENT,,2,2015
P07E3000,P07E0000,R,"(192X,192M) REALTY SERVICES SUPPORT BRANCH",,2,2015
P09Y0001,P09Y0000,F,"(192X,192M) FINANCIAL MGMT DIV",,2,2015
P07M3000,P07M0000,E,"(192X,192M) NON-PROSPECTUS PROJECTS BRANCH",,2,2015
P0610101,,TRANSFER,"(192X,192M) TRANSFER PROJECTS",,2,2015
P00A0001,P00A0000,A,"(192X,192M) CONTINUITY OF OPERATIONS STAFF",,1,2015
P0921200,P0920000,M,"(192X,192M) OPERATIONS BRANCH",,2,2015
P00U1000,P00U0000,T,"(192X,192M) D AC RE EST PORT M",,1,2015
P00U1030,P00U0000,T,"(192X,192M) PORTFOLIO ANALYSIS",,1,2015
P00G9100,P00G0000,G,"(192X,192M) CENTER FOR STRATEGIC PLANNING",,1,2015
P0540001,P0540000,C,"(192X,442) PROPERTY DEVELOPMENT DIVISION",,2,2015
P00Q0006,P00Q0000,P00Q0000,"(192X,192M) CENTER FOR CONSTRUCTION & PROJ MGMT",,1,2015
P00C0009,P00C0000,R,"(192X,192M) INT DELEGATION",,1,2015
P07E5000,P07E0000,R,"(192X,192M) PROJECT DELIVERY BRANCH B (7PRB)",,2,2015
P0421100,P0420000,M,"(192X,192M) REPAIR AND ALTERATIONS",,2,2015
P01E0300,,E,"(192X,192M) DESIGN & CONSTRUCTION",,2,2015
P0910001,P0910000,A,"(192X,192M,321X) ASST REG ADMIN & STAFF",,2,2015
P05H0240,P05H0000,F,"(192X,192M) FINANCIAL OPERTATIONS BRANCH",,2,2015
P0940100,P0940000,C,"(192X,192M) ADMINISTRATIVE BR",,2,2015
P00Q2000,P00Q0000,C,"(192X,192M) CHIEF ARCHITECT",,1,2015
P00U1040,P00U0000,T,"(192X,192M) PORTFOLIO STRATEGY",,1,2015
P00S1301,P00S0000,M,"(192X,192M) COMPETITIVE ELECTRICITY",,1,2015
P07E2000,P07E0000,R,"(192X,192M) POLICY & PROGRAMS BRANCH",,2,2015
P00U1020,P00U0000,T,"(192X,192M) CAPITOL ALLOCATION",,1,2015
P0525136,,S,"(192X,192M) COLUMBUS FIELD OFFICE",,3,2015
P0125200,P0120000,S,"(192X,192M) NORTH SERVICE CENTER BRANCH",,3,2015
P0240600,P0240000,C,"(192X,192M) PROJECT OPER BR",,2,2015
P112HOTD,P1120000,M,(192X) HEATING OPER & TRANS DIV (HOTD),,3,2015
P0570001,P0570000,R,"(192X,192M) CUSTOMER PROJECTS DIVISION",,2,2015
P1173001,P1170000,R,"(192,192M) REAL ESTATE ADMINISTRATION DIVISION",,2,2015
P02T0001,P02T0000,T,"(192X,192M) PORTFOLIO MANAGEMENT DIVISION",,2,2015
P11R0001,P11R0000,M,"(192X,192M) RRB & ITC STAFF",,3,2015
P00D3400,P00D0000,D,"(192X,192M) CENTER FOR REALTY POLICY",,1,2015
P0425109,P0425100,S,"(192X,192M) MEMPHIS, TN SERVICE CENTER",,3,2015
P05G0100,P05G0000,G,"(192X,192M) TECHNOLOGY CAPITAL ASSET MANAGEMENT (TCAM)",,2,2015
P1025123,P1020000,S,"(192X,192M) DOWNTOWN SEATTLE PMO",,3,2015
P0622101,P0620000,P0620000,"(192X,192M) EAST TECH SYCS",,2,2015
P00M1200,P00M0000,M,"(192X,192M) ENVIRONMENT DIVISION",,1,2015
P00S1300,P00S0000,M,"(192X,192M) ENERGY CENTER",,1,2015
P00F0001,P00F0000,D,"(192X,192M) CHILD CARE & DEV PROGRAMS",,1,2015
P1121020,P1120000,M,"(192X,192M) HEATING, OPER & TRANS DIV",,3,2015
P00C0008,P00C0000,R,"(192X,192M) HHS DELEGATION",,1,2015
P0140200,,C,"(192X,192M) PROJECT MGMT SUPPORT BR",,2,2015
P092S440,P0920000,S,"(192X,192M) CENTRAL CALIFORNIA OFFICE",,3,2015
P03QC300,P03C0000,E,"(192X,192M) ACQ MGMT DIV-CNTRCT OPS BR-RICHMOND SECTION",,2,2015
P031GA00,P0310000,G,"(192X,192M) ORGANIZATION RESOURCES-ADMINISTRATN SVCS SECT",,2,2015
P00R1300,P00R0000,R,"(192X,192M) CENTER FOR SITE ACQUISITION",,1,2015
P00U2000,P00U0000,M,"(192X,192M) OCCUPANY ADMINISTRATION",,1,2015
P0040001,P0040000,PY,"(192X,192M) DEPUTY ASST COMMISSIONER & STF",,1,2015
P1110003,,A,"(192X,192M) PLANNING STAFF",,2,2015
P0576000,P0570000,R,"(192X,192M) OCO CLIENT DEL TEAM 6",,2,2015
P00G4401,P00G0000,G,(192X) PBS APPLICATIONS (GOVERNANCE),,1,2015
P00G9000,P00G0000,G,"(192X,192M) STRATEGIC BUSINESS PLANNING DIVISION",,1,2015
P1124001,P1120000,S,"(192X,192M) TRIANGLE SERVICES DIVISION",,3,2015
P0425202,P0420000,S,"(192X,192M) JACKSON, MS FIELD OFFICE",,3,2015
P0525257,P0520000,S,"(192X,192M) NORTHWEST INDIANA OFFICE",,3,2015
P00M3107,P00M0000,M,"(192X,192M) CHILDCARE - GREATER SW",,1,2015
P00G0001,P00G0000,G,"(192X,192M) AC FOR ORG RES",,1,2015
P0725010,P0710000,S,"(192X,192M) SERVICE CENTER DIVISION - DIRECTOR",,2,2015
P00S1206,P00S0000,M,"(192X,192M) CHILDCARE - HEARTLAND",,1,2015
P03CA100,P03C0000,C,"(192X,192M) D&C DIV-NORTH BR-PHILADELPHIA & NEW JERSEY SECT",,2,2015
P0525134,,S,"(192X,192M) CINCINATTI FIELD OFFICE",,3,2015
P09A0001,P09A0000,C,"(192X,192M) REGIONAL CHIEF ARCHITECT STAFF",,2,2015
P02E0100,P02E0000,M,"(192X,192M) EMERGENCY MGMT BR-LEVEL 2",,2,2015
P00S1207,P00S0000,M,"(192X,192M) CHILDCARE - GREEATER SW",,1,2015
P0060001,P0060001,N,"(192,442) PBS PROGRAM MANAGEMENT OFFICE",,1,2015
P1040002,P1040000,P10DXXXX,"(192X,192M) D&C CONTRACTING BRANCH",,2,2015
P1100000,,PY,"(192X,192M) PRIOR YEAR ACTIVITIES",,2,2015
P1170001,P1170000,R,"(192X,192M) LEASING POLICY & PERFORMANCE DIV",,2,2015
P0425400,P0420000,S,"(192X,192M) NASHVILLE, TN SERVICE CENTER",,3,2015
P00S1203,P00S0000,M,"(192X,192M) CHILDCARE - MID-ATLANTIC",,1,2015
P1121206,P1120000,M,"(192X,192M) CONCESSIONS & SPEC SERV",,2,2015
P04M0005,P04M0000,M,"(192X,192M) PROGRAM SUPPORT BRANCH",,2,2015
P00G44IO,P00G0000,G,(192X) IOS - INFRASTRUCTURE,,1,2015
P0522005,P0522000,S,"(192X,192M) INDIANA/WISCON/MINN TEAM",,2,2015
P0220WTC,P0220000,S,"(192X,192M) WORLD TRADE CENTER",,2,2015
P1140001,P1140000,C,"(192X,192M) PROPERTY DEVELOPMENT DIV",,2,2015
P1020001,P1020000,S,"(192X,192M) SERVICE CENTERS DIVISION",,2,2015
P00G1100,P00G0000,E,"(192X,192M) ACQU PROGRAM MANAGER",,1,2015
P05Q0010,P05Q0000,M,"(192X,192M) SECURITY AND PROGRAM SERVICES BRANCH",,2,2015
P092D110,P0920000,S,(192) NEVADA FIELD OFFICE,,3,2015
P00M3108,P00M0000,M,"(192X,192M) CHILDCARE - ROCKY MT",,1,2015
P00M3109,P00M0000,M,"(192X,192M) CHILDCARE - PACIFIC RIM",,1,2015
P01Q0001,P01Q0000,E,"(192X,192M) ACQUISITION MANAGEMENT STAFF",,2,2015
P00M1100,P00M0000,M,"(192X,192M) ENERGY DIVISION",,1,2015
P1070001,P1070000,R,"(192X,192M) REAL ESTATE ACQUISITION DIVISION",,2,2015
P04T0003,P04T0000,T,"(192X,192M) BRANCH B",,2,2015
P07E0001,P07E0000,R,"(192X,192M) LEASING DIVISION",,2,2015
P00G6000,P00G0000,A,"(192X,192M) COMMUNICATION DIV",,1,2015
P0170200,,R,"(192X,192M) SPACE & SITE ACQUISITION",,2,2015
P03CL000,P03C0000,C,"(192X,192M) DESIGN & CONSTRUCTION DIV - SPECIAL PLANNING DIV",,2,2015
P01M0001,P01M0000,M,"(192,442) FACIL MGMT & SVCS PROGS DIV - IPM",,2,2015
P0470003,,R,"(192X,192M) CONTRACTS BRANCH",,2,2015
P00G44IE,P00G0000,G,(192X) IE - PLANNING & GOVERNANCE,,1,2015
P0600000,,PY,"(192X,192M) PRIOR YEAR ACTIVITIES",,2,2015
P00H0270,P00H0000,F,"(192X,192M) CTR FOR MGMT SUPPT & ADM SVCS",,1,2015
P0741000,P0740001,C,"(192X,192M) PROJECT MANAGEMT BRANCH A",,2,2015
P05D0020,P05D0000,R,"(192X,192M) PROJ MGT/WORKSPACE DELIVERY PROGRAMS",,2,2015
P1123000,P1123000,M,"(192X,192M) SOUTH DISTRICT",,3,2015
P0540600,P0540000,C,"(192X,192M) DESIGN PROGRAMS BRANCH",,2,2015
P0621400,P0620000,M,"(192X,192M) BUILDING OPERATIONS BRANCH",,2,2015
P1025700,P1020000,S,"(192X,192M) GREATER PUGET SOUND SERVICE CENTER",,3,2015
P1040001,P1040000,C,"(192X,192M) PROJECT MANAGEMENT BR",,2,2015
P0190000,,G,"(192X,192M) PRESIDENTIAL PROTECTION",,2,2015
P034A000,P0340000,C,"(192X,192M) PROJ MANAGEMENT SVCS OFC- PHILATLANTIC PROJECTS",,2,2015
P0625103,P0620000,S,"(192X,192M) NEBRASKA PRPTY MGMT CTR",,3,2015
P0525221,P0520000,S,"(192X,192M) ILLINOIS OFFFICE",,3,2015
P0225400,P0220000,S,"(192X,192M) NEW JERSEY SERVICE CENTER",,3,2015
P1121205,P1120000,M,"(192X,192M) SAFETY & ENVIRONMENT MGMT",,2,2015
P0440700,,C,"(192X,192M) ENGINEERING BRANCH",,2,2015
P03MB000,P03M0000,M,"(192X,192M) FACIL MGT SRV PRG DV-BLD OP SEC&TNT SRV BR",,2,2015
P00M2100,P00M0000,M,"(192X,192M) BUILDING OPERATIONS DIVISION",,1,2015
P04M0004,P04M0000,M,"(192X,192M) OPERATIONS & MAINTENANCE BRANCH",,2,2015
P00M3100,P00M0000,M,"(192X,192M) CHILDCARE - CENTRAL OFFICE",,1,2015
P081S001,P0810000,F,"(192X,192M) SYSTEMS STAFF",,2,2015
P111000D,P1110000,G,(192) OFFICE OF ORGANIZATIONAL RESOURCES,,2,2015
P0425700,P0420000,S,"(192X,192M) ATLANTA REGIONAL SERVICE CENTER",,3,2015
P037C100,P0370000,R,"(192X,192M) REAL EST ACQ DIV-SO BR-BALTIMORE SECT",,2,2015
P0270500,P0270000,R,"(192X,192M) NEW JERSEY BR",,2,2015
P1121401,P1120000,M,"(192X,192M) FACILITIES PROGRAM SUPPORT DIVISION",,2,2015
P0525174,P0520000,S,"(192X,192M) GRAND RAPIDS OFFICE",,3,2015
P07R0300,P07R0000,A,"(192X,192M) SPACIAL DATA INTEGRITY",,2,2015
P0425502,P0420000,S,"(192X,192M) RALEIGH, NC FIELD OFFICE",,3,2015
P04D0001,P04D0000,T,"(192X,192M) CLIENT SOLUTIONS DIVISION",,2,2015
P0220001,P0220000,S,"(192X,192M) SERVICE CENTERS DIVISION",,2,2015
P11J0001,P11J0000,C,"(192X,192M) OFFICE OF PLANNING & DESIGN QUALITY",,2,2015
P00C0012,P00C0000,R,"(192X,192M) L/CONGRESS DELEGATION",,1,2015
P00S1205,P00S0000,M,"(192X,192M) CHILDCARE - GREAT LAKES",,1,2015
P07250N1,P0720000,P0725XXX,"(192X,192M) NEW MEXICO SERVICE CENTER",,3,2015
P00S0001,P00S0000,M,"(192X,192M) AC APPLIED SCIENCE",,1,2015
P06T1001,P06T0000,T,"(192X,192M) FEDERAL SPACE MANAGMENT BRANCH",,2,2015
P0225510,P0220000,S,(192) ALBANY FIELD OFFICE,,3,2015
P0270200,P0270000,R,"(192X,192M) MANHATTAN/BRONX & STATIN ISL",,2,2015
P00U1010,P00U0000,T,"(192X,192M) ASSET MANAGEMENT AND VALUATION DIVISION",,1,2015
P00S3000,P00S0000,G,"(192X,192M) KNOWLEDGE SYSTEMS",,1,2015
P1120WTC,P1120000,M,"(192X,192M) WORLD TRADE CENTER",,2,2015
P082W000,P0820000,S,"(192X,192M) WY/UT SER CTR-RPM & S",,2,2015
P0221200,P0220000,S,"(192X,192M) FACILITY SUPPORT BR",,2,2015
P0225600,P0220000,S,"(192X,192M) CARIBBEAN SERVICE CENTER",,3,2015
P09T0200,P09T0000,T,"(192X,192M) R&A BRANCH",,2,2015
P00S1303,P00S0000,M,"(192X,192M) PUBLIC UTILITIES",,1,2015
P0010091,P0010000,A,"(192X,192M) VISION 2000",,1,2015
P06T2001,P06T0000,T,"(192X,192M) ASSET MANAGEMENT BRANCH",,2,2015
P00M0001,P00M0000,M,"(192X,192M) AC FOR OFFICE OF FACILITIES MANAGEMENT",,1,2015
P00Q1100,P00Q0000,C,"(192X,192M) CHIEF ENGINEER DIVISION",,1,2015
P0825111,P0820000,R,"(192X,192M) DENVER FED CTR FIELD",,2,2015
P0471300,,R,"(192X,192M) ACQUISITION BRANCH C",,2,2015
P0125300,P0120000,S,"(192X,192M) SOUTH SERVICE CENTER BRANCH",,3,2015
P00G9200,P00G0000,G,"(192X,192M) CENTER FOR BUSINESSPLANNING",,1,2015
P1025117,P1020000,S,"(192X,192M) BELLINGHAM PMO",,3,2015
P0425401,P0420000,S,"(192X,192M) NASHVILLE, TN FIELD OFFICE",,3,2015
P00C0025,P00C0000,R,"(192X,192M) FCC DELEGATION",,1,2015
P00G4000,P00G0000,G,"(192X,192M) DEP AC TECH CAP ASSET MGMT",,1,2015
P0681003,P0680000,E,(192) WEST ACQUISITION BRANCH,,2,2015
P0525222,P0520000,S,"(192X,192M) BEAN FEDERAL CENTER FIELD OFFICE",,3,2015
P1140002,P1140000,C,"(192X,192M) BUDGET,FINANCIAL MANAGEMENT&ADMINISTRATIVE DIV",,2,2015
P00C0028,P00C0000,R,"(192X,192M) HUD",,1,2015
P034K000,P0340000,C,"(192X,192M) PROJ MANAGEMENT SVCS OFC- ALLEGHENY PROJECTS",,2,2015
P111000C,P1110000,C,(192) OFFICE OF INFRASTRUCTURE AND CAMPUS DEVELOPMENT,,2,2015
P07C2000,P07C0000,A,"(192X,192M) SECURITY BRANCH",,2,2015
P00Q1500,P00Q0000,C,"(192X,192M) COURTHOUSE MANAGEMENT DIVISION",,1,2015
P037X000,P0370000,R,"(192X,192M) REAL ESTATE DIVISION - BUSINESS SYSTEMS SECTION",,2,2015
P00D0001,P00D0000,D,"(192X,192M) A C FOR NAT CUST SERV MG",,1,2015
P092L240,P0920000,S,"(192X,192M) 11000 WILSHIRE FIELD OFFICE",,3,2015
P0710120,P0710000,G,"(192X,192M) ORGANIZATION RESOURCES STAFF",,2,2015
P04T0004,P04T0000,T,"(192X,192M) BRANCH C",,2,2015
P00HGMNA,P00H0000,F,"(192X,192M) GM&A & CENTRALIZED SERVICES",,1,2015
P0810009,P0810000,M,"(192X,192M) DISASTER/EMGCY SUPPORT FEMA",,2,2015
P0970003,P0970000,R,"(192X,192M) SAN DIEGO BRANCH",,2,2015
P0622001,P0620000,S,"(192X,192M) EAST DIRECTOR",,2,2015
P00S1302,P00S0000,M,"(192X,192M) NATIONAL GAS ACQUISITION",,1,2015
P0710140,P0710000,M,"(192X,192M) EMERGENCY MGMT AND SECURITY BRANCH B",,2,2015
P11A0001,P11A0000,F,(192) PRESIDENTIAL TRANSITION TEAM,,2,2015
P1121000,P1120000,M,"(192X,192M) HEATING, OPER & TRANS DIV",,3,2015
P03QX001,P03C0000,E,"(192X,192M) ACQ MGMT DIV-PRGRM,PLCY&CMPLNCE BR",,2,2015
P11E0001,P11E0000,M,"(192X,192M) ACQUISITION EXECUTIVE",,2,2015
P1025111,P1020000,S,"(192X,192M) JACKSON PMO",,3,2015
P0710100,P0710000,A,"(192X,192M) DEPUTY REGIONAL COMMISSIONER",,2,2015
P0525253,P0520000,S,"(192X,192M) KLUCZYNSKI FB AND LOOP POSTAL STATION",,3,2015
P05T0040,,,(192X) PROJECT MANAGEMENT PROGRAMS BRANCH,,,2015
P00C0022,P00C0000,R,"(192X,192M) VA DELEGATION",,1,2015
P03ME000,P03M0000,M,"(192X,192M) FACIL MGT SRV PRG DV-ENERG&ENVIRON BR",,2,2015
P0941000,P0940000,C,"(192X,192M) CALIFORNIA BORDER STATION PROJECT EXECUTIVE BR",,2,2015
P0525224,P0520000,S,"(192X,192M) CENTRAL/SOUTHERN INDIANA FIELD OFFICE",,3,2015
P00M3106,P00M0000,M,"(192X,192M) CHILDCARE - HEARTLAND",,1,2015
P0010101,P0010000,TRANSFER,"(192X,192M) TRANSFER PROJECTS",,1,2015
P10D0001,P10D0000,D,"(192X,192M) CLIENT SOLUTIONS DIVISION",,2,2015
P1060001,P1060001,N,"(192,442) REGIONAL RECOVERY OFFICE, REGION 10",,2,2015
P00E0001,P00E0001,H,"(192X,192M) PBS CENTER FOR SUSTAINABILITY MANAGEMENT",,1,2015
P0210001,P0210000,A,"(192X,192M,321X) REGIONAL COMMISSIONER",,2,2015
P1172001,P1170000,R,"(192,192M) LEASE PROJECT MANAGEMENT DIVISION",,2,2015
P0625205,P0625200,S,"(192X,192M) IOWA",,3,2015
P07M2000,P07M0000,E,"(192X,192M) SERVICES BRANCH",,2,2015
P04M0001,P04M0000,G,"(192X,192M) NON-INFRASTRUCTURE INFO TECHNOLOGY BR.",,2,2015
P04M0006,P04M0000,M,"(192X,192M) REPAIR AND ALTERATIONS BRANCH",,2,2015
P1010002,P1010000,E,"(192X,192M) ACQUISITION MANAGEMENT DIVISION",,2,2015
P0625001,P0620000,S,"(192X,192M) SERVICE CENTERS DIVISION",,2,2015
P0621102,P0620000,P0620000,"(192X,192M) PROJECT SERVICES BRANCH",,2,2015
P00Q0000,P00Q0000,C,"(192X,192M) OFC OF DESIGN AND CONTRUCTION PROGRAMS",,1,2015
P0225520,P0220000,S,(192) BORDER STATION FIELD OFFICE,,3,2015
P0610002,P0610000,E,"(192X,192M) REGIONAL PROCUREMENT OFFICER",,2,2015
P037A400,P0370000,R,"(192X,192M) REAL EST ACQ DIV-NOR BR-PITTSBURGH SECT",,2,2015
P11D0001,P11D0000,D,"(192X,192M) MARKETING DIVISION",,2,2015
P0425200,P0420000,S,"(192X,192M) BIRMINGHAM, AL SERVICE CENTER",,3,2015
P00A0003,P00A0000,A,"(192X,192M) REGULATORY STUDY AND ADVOCACY OFFICE",,1,2015
P1010001,P1010000,A,"(192X,192M,321X) REGIONAL COMMISSIONER STAFF",,2,2015
P1025120,P1020000,S,"(192X,192M) RICHLAND PMO",,3,2015
P032C200,P032C000,S,"(192X,192M) WOODLAWN FIELD GROUP",,3,2015
P0524002,P0524000,S,"(192X,192M) ILLINOIS TEAM",,2,2015
P0644001,P0640000,C,"(192X,192M) PROJECT EXECUTION BRANCH I",,2,2015
P07T4000,P07T0000,T,"(192X,192M) URBAN DEVELOPMNT,SITE ACQUISITION&RELOCATION BR",,2,2015
P0440500,P0440000,C,"(192X,192M) LEASE PROJECT SUPPORT BRANCH",,2,2015
P0525000,,P0520000,"(192X,192M) SSA CLIENT SERVER TEAM",,2,2015
P0470001,P0470000,R,"(192X,192M) REAL ESTATE DIVISION",,2,2015
P00D5000,P00D0000,D,"(192X,192M) ACCOUNT POLICY DIVISION",,1,2015
P0575000,P0570000,R,"(192X,192M) CLIENT DELIVERY TEAM 5 (SPECIALIZED)",,2,2015
P0940300,P0940000,C,"(192X,192M) AZ/NV PROJECT EXEC",,2,2015
P0540400,P0540000,C,"(192X,192M) EXPERT RESOURCES BRANCH",,2,2015
P097D100,P0970000,R,"(192X,192M) ACQUISITION & ADMIN BRANCH",,2,2015
P06M1004,P06M0000,G,"(192X,192M) BUSINESS PLANNING AND PERFORMANCE BRANCH",,2,2015
P01G0001,P01G0000,G,"(192X,192M) ORGANIZATION RESOURCES STAFF",,2,2015
P04T0001,P04T0000,T,"(192X,192M) PORTFOLIO MANAGER",,2,2015
P037A300,P0370000,R,"(192X,192M) REAL EST ACQ DIV-NOR BR-DE VALLEY SECT",,2,2015
P0710001,P0710000,A,"(192X,192M,321X) REGIONAL COMMISSIONER",,2,2015
P02B0001,P02B0000,F,"(192X,192M) BUDGET & FINANCIAL MANAGEMENT",,2,2015
